Area,Apartments - 1 BR,Apartments - 2 BR,Apartments - 3 BR,Villas - 3 BR,Villas - 4 BR
Al Barsha,"68,968","91,587","112,190","165,000","200,000"
Al Karama,"72,166","95,101","109,728",,"150,000"
Al Quoz,"54,021","72,226","127,500","142,500","179,600"
Al Qusais,"51,137","70,385","86,800","82,000",
Al Sufouh,"81,929","107,000","165,000","245,417","260,000"
Arabian Ranches,"73,333",,"137,000","177,466","220,000"
Bur Dubai,"66,138","92,498","132,431",,"160,000"
Deira,"57,269","96,371","137,044","102,250","175,000"
Discovery Gardens,"59,502","89,088",,,
Downtown Jebel Ali,"55,031","71,714","80,000",,
Dubai Investment Park (DIP),"60,490","80,000","95,000",,"170,000"
Dubai Marina,"93,858","130,000","170,000","273,023","650,000"
Dubai Sports City,"58,614","79,310","110,000","155,625","172,500"
Green Community,"74,425","118,286","173,750","186,250","189,660"
IMPZ,"57,406","71,338","96,778",,
International City,"41,942","59,066","83,600","95,000","102,500"
Jumeirah 127,"127,809","178,819","230,000","180,418","220,278"
Jumeirah Village Circle (JVC),"60,730","86,790","120,000","135,617","140,727"
Mirdif,"65,389","84,217","105,368","120,347","131,815"
Motor City,"73,261","104,386","135,000","185,000","233,194"
Nad Al Sheba,,,,,"223,333"
Palm Jumeirah,"130,000","160,000","205,000","263,333","380,000"
The Meadows,,,,"205,000","210,000"
The Springs,,"116,667","153,000","157,718",
Umm Suqeim,,"142,500","211,250","207,167","220,000"
